lib;indice;codes
2014-03;85.4;A
2014-04;91.13;A
2014-05;90.71;A
2014-06;94.25;A
2014-07;96.4;A
2014-08;99.85;A
2014-09;97.14;A
2014-10;99.64;A
2014-11;93.94;A
2014-12;104.21;A
2015-01;103.37;A
2015-02;99.0;A
2015-03;94.14;A
2015-04;99.64;A
2015-05;93.44;A
2015-06;95.42;A
2015-07;87.01;A
2015-08;87.3;A
2015-09;94.68;A
2015-10;96.2;A
2015-11;96.32;A
2015-12;93.13;A
2016-01;94.92;A
2016-02;96.13;A
2016-03;100.41;A
2016-04;93.39;A
2016-05;95.61;A
2016-06;95.52;A
2016-07;95.25;A
2016-08;98.07;A
2016-09;89.22;A
2016-10;92.34;A
2016-11;92.94;A
2016-12;97.85;A
2017-01;84.04;A
2017-02;91.33;A
2017-03;86.45;A
2017-04;84.98;A
2017-05;92.7;A
2017-06;85.21;A
2017-07;90.39;A
2017-08;97.89;A
2017-09;91.75;A
2017-10;89.33;A
2017-11;90.43;A
2017-12;89.5;A
2018-01;83.07;A
2018-02;92.71;A
2018-03;92.51;A
2018-04;97.14;A
2018-05;92.29;A
2018-06;92.26;A
2018-07;93.14;A
2018-08;93.08;A
2018-09;91.99;A
2018-10;93.07;A
2018-11;91.2;A
2018-12;94.47;A
2019-01;99.72;A
2019-02;87.63;A
2019-03;95.88;A
2019-04;91.2;A
2019-05;96.5;A
2019-06;101.95;A
2019-07;104.15;A
2019-08;98.21;A
2019-09;105.32;A
2019-10;97.16;A
2019-11;98.23;A
2019-12;88.08;A
